2018-06-01,0,0,4,3
2018-06-01,0,0,14,2
2018-06-01,0,0,15,1
2018-06-01,0,0,17,1
2018-06-01,1,1,16,2
2018-06-01,1,1,17,1
2018-06-01,2,2,7,3
2018-06-01,2,2,12,3
2018-06-01,3,3,15,1
2018-06-01,4,4,5,3
2018-06-01,5,5,6,1
2018-06-01,6,6,5,1
2018-06-01,6,6,15,2
2018-06-01,6,6,17,2
2018-06-01,7,7,4,1
2018-06-01,7,7,11,2
2018-06-01,7,7,15,1
2018-06-01,8,8,12,1
2018-06-01,9,9,14,1
2018-06-01,9,9,15,3
2018-06-01,10,10,7,3
2018-06-01,11,11,0,1
2018-06-01,11,11,6,3
2018-06-01,11,11,8,1
2018-06-01,11,11,10,2
2018-06-01,12,12,8,3
2018-06-01,13,13,0,3
2018-06-01,13,13,3,3
2018-06-01,13,13,14,1
2018-06-01,13,13,18,1
2018-06-02,14,14,4,1
2018-06-02,14,14,7,2
2018-06-02,14,14,15,3
2018-06-02,15,15,9,3
2018-06-02,15,15,12,3
2018-06-02,15,15,13,1
2018-06-02,15,15,15,2
2018-06-02,16,16,1,2
2018-06-02,17,17,2,1
2018-06-02,17,17,6,3
2018-06-02,17,17,9,3
2018-06-02,17,17,14,1
2018-06-02,18,18,18,1
2018-06-02,18,19,0,1
2018-06-02,18,19,2,3
2018-06-02,18,19,7,2
2018-06-02,18,19,17,2
2018-06-02,19,20,13,1
2018-06-03,20,21,0,1
2018-06-03,20,21,5,2
2018-06-03,21,22,13,3
2018-06-03,22,23,12,1
2018-06-03,22,23,15,1
2018-06-03,23,24,11,2
2018-06-03,23,24,13,3
2018-06-03,24,25,0,3
2018-06-03,24,25,9,2
2018-06-03,24,25,13,2
2018-06-03,24,25,17,3
2018-06-03,25,26,8,3
2018-06-03,25,26,15,2
2018-06-03,26,27,6,1
2018-06-03,26,27,13,3
2018-06-03,26,27,14,3
2018-06-03,27,28,1,2
2018-06-03,27,28,8,1
2018-06-03,27,28,11,3
2018-06-03,27,28,17,3
2018-06-03,28,29,0,2
2018-06-03,28,29,1,3
2018-06-03,28,29,3,1
2018-06-03,28,29,9,1
2018-06-03,29,30,11,3
2018-06-03,29,30,14,3
2018-06-03,29,30,15,2
2018-06-04,0,31,0,2
2018-06-04,0,31,2,1
2018-06-04,0,31,5,1
2018-06-04,0,31,18,1
2018-06-04,30,32,1,2
2018-06-04,30,32,6,1
2018-06-04,30,32,9,1
2018-06-04,30,32,16,3
2018-06-04,31,33,11,3
2018-06-04,32,34,4,2
2018-06-04,32,34,11,2
2018-06-04,32,34,16,2
2018-06-04,33,35,5,2
2018-06-04,33,35,14,2
2018-06-04,33,35,15,1
2018-06-04,34,36,14,2
2018-06-04,35,37,0,3
2018-06-04,35,37,16,3
2018-06-04,36,38,2,3
2018-06-05,3,39,10,1
2018-06-05,3,39,13,2
2018-06-05,3,39,18,3
2018-06-05,28,40,7,2
2018-06-05,28,40,10,3
2018-06-05,28,40,17,1
2018-06-05,32,41,18,2
2018-06-05,33,42,2,3
2018-06-05,33,42,7,2
2018-06-05,33,42,16,3
2018-06-05,34,43,3,2
2018-06-05,34,43,16,3
2018-06-05,34,43,17,3
2018-06-05,34,43,18,3
2018-06-05,37,44,0,2
2018-06-05,37,44,3,1
2018-06-05,38,45,6,1
2018-06-05,38,45,7,1
2018-06-05,38,45,11,3
2018-06-05,38,45,12,1
2018-06-05,39,46,9,1
2018-06-05,40,47,0,1
2018-06-05,40,47,16,1
2018-06-05,40,47,17,2
2018-06-05,41,48,14,2
2018-06-05,42,49,9,2
2018-06-05,42,49,11,2
2018-06-05,42,49,13,1
2018-06-05,42,49,17,3
2018-06-06,5,50,4,2
2018-06-06,5,50,14,3
2018-06-06,5,50,16,2
2018-06-06,5,50,17,2
2018-06-06,5,51,4,2
2018-06-06,5,51,13,1
2018-06-06,5,51,18,2
2018-06-06,17,52,4,2
2018-06-06,22,53,4,2
2018-06-06,22,53,8,1
2018-06-06,31,54,17,3
2018-06-06,43,55,7,2
2018-06-06,43,55,12,2
2018-06-06,43,55,18,2
2018-06-06,44,56,11,2
2018-06-06,44,56,14,2
2018-06-06,44,56,16,2
2018-06-06,44,56,18,1
2018-06-06,45,57,2,2
2018-06-06,45,57,3,3
2018-06-06,45,57,11,3
2018-06-06,45,57,15,1
2018-06-06,46,58,5,2
2018-06-06,46,58,12,1
2018-06-07,23,59,0,1
2018-06-07,23,59,11,2
2018-06-07,23,59,14,1
2018-06-07,47,60,0,3
2018-06-07,47,60,3,3
2018-06-07,47,60,7,1
2018-06-07,47,60,9,3
2018-06-07,47,61,1,1
2018-06-07,47,61,10,2
2018-06-07,47,61,13,1
2018-06-07,47,61,14,2
2018-06-07,48,62,18,1
2018-06-07,49,63,4,1
2018-06-07,50,64,0,3
2018-06-07,50,64,3,3
2018-06-07,50,64,8,3
2018-06-07,50,64,18,1
2018-06-07,51,65,15,2
2018-06-07,52,66,15,3
2018-06-07,53,67,6,1
2018-06-07,53,67,9,2
2018-06-08,27,68,8,3
2018-06-08,27,68,11,1
2018-06-08,27,68,18,3
2018-06-08,34,69,12,1
2018-06-08,34,69,14,2
2018-06-08,54,70,2,2
2018-06-08,54,70,4,3
2018-06-08,54,70,15,1
2018-06-08,54,70,16,1
2018-06-08,55,71,0,2
2018-06-08,55,71,13,3
2018-06-08,55,71,17,1
2018-06-08,56,72,5,3
2018-06-08,56,72,11,2
2018-06-08,56,72,14,3
2018-06-08,57,73,9,2
2018-06-08,57,73,17,3
2018-06-08,58,74,11,2
2018-06-08,59,75,5,2
2018-06-08,60,76,7,2
2018-06-09,17,77,5,1
2018-06-09,17,77,10,2
2018-06-09,17,77,12,2
2018-06-09,22,78,4,1
2018-06-09,53,79,6,2
2018-06-09,53,79,18,3
2018-06-09,56,80,3,1
2018-06-09,56,80,7,2
2018-06-09,56,80,9,3
2018-06-09,56,80,18,3
2018-06-09,61,81,12,3
2018-06-09,61,81,14,1
2018-06-09,62,82,0,3
2018-06-09,62,82,9,2
